code,name,description,refreshed_at,from_date,to_date
BOM501700,INDIANIVESH LTD. EOD Prices,End of Day prices and additional trading information for INDIANIVESH LTD. EOD Prices.,2019-02-01 13:23:49,1997-02-13,2019-01-31
BOM501756,Thana Electric Supply Co.ltd. EOD Prices,End of Day prices and additional trading information for Thana Electric Supply Co.ltd. EOD Prices.,2015-11-12 11:56:32,1996-04-26,2015-08-31
BOM501827,Central Provinces Railways Co.ltd. EOD Prices,End of Day prices and additional trading information for Central Provinces Railways Co.ltd. EOD Prices.,2015-11-12 11:56:32,1991-09-05,2015-06-16
BOM501831,COASTAL CORPORATION LTD. EOD Prices,End of Day prices and additional trading information for COASTAL CORPORATION LTD. EOD Prices.,2019-02-01 13:23:49,2013-08-26,2019-01-31
BOM501833,CHOWGULE STEAMSHIPS LTD. EOD Prices,End of Day prices and additional trading information for CHOWGULE STEAMSHIPS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-31
BOM501848,GLOBAL OFFSHORE SERVICES LTD.-$ EOD Prices,End of Day prices and additional trading information for GLOBAL OFFSHORE SERVICES LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-31
BOM501945,DHENU BUILDCON INFRA LTD. EOD Prices,End of Day prices and additional trading information for DHENU BUILDCON INFRA LTD. EOD Prices.,2019-02-01 13:23:49,1991-08-23,2019-01-22
BOM502015,ASI Industries Ltd EOD Prices,End of Day prices and additional trading information for ASI Industries Ltd EOD Prices.,2019-02-01 13:23:49,1991-01-02,2019-01-31
BOM502090,SAGAR CEMENTS LTD.-$ EOD Prices,End of Day prices and additional trading information for SAGAR CEMENTS LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-01-02,2019-01-31
BOM502137,DECCAN CEMENTS LTD.-$ EOD Prices,End of Day prices and additional trading information for DECCAN CEMENTS LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-01-02,2019-01-31
BOM502150,KALYANPUR CEMENTS LTD. EOD Prices,End of Day prices and additional trading information for KALYANPUR CEMENTS LTD. EOD Prices.,2019-02-01 13:23:49,1991-09-16,2018-04-25
BOM502157,MANGALAM CEMENT LTD. EOD Prices,End of Day prices and additional trading information for MANGALAM CEMENT LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-02,2019-01-30
BOM502165,OCL INDIA LTD. EOD Prices,End of Day prices and additional trading information for OCL INDIA LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2018-10-24
BOM502168,NCL INDUSTRIES LTD.-$ EOD Prices,End of Day prices and additional trading information for NCL INDUSTRIES LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-01-02,2019-01-31
BOM502175,SAURASHTRA CEMENT LTD. EOD Prices,End of Day prices and additional trading information for SAURASHTRA CEMENT LTD. EOD Prices.,2019-02-01 13:23:49,1991-03-11,2019-01-31
BOM502180,SHREE DIGVIJAY CEMENT CO.LTD.-$ EOD Prices,End of Day prices and additional trading information for SHREE DIGVIJAY CEMENT CO.LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-01-02,2019-01-31
BOM502216,BOMBAY POTTERIES & TILES LTD. EOD Prices,End of Day prices and additional trading information for BOMBAY POTTERIES & TILES LTD. EOD Prices.,2019-02-01 13:23:49,1996-05-09,2012-02-01
BOM502219,BOROSIL GLASS WORKS LTD. EOD Prices,End of Day prices and additional trading information for BOROSIL GLASS WORKS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-31
BOM502223,Excel Glasses Ltd. EOD Prices,End of Day prices and additional trading information for Excel Glasses Ltd. EOD Prices.,2015-11-12 11:56:32,1992-02-13,2015-03-09
BOM502250,Lerthai Finance Ltd EOD Prices,End of Day prices and additional trading information for Lerthai Finance Ltd EOD Prices.,2019-02-01 13:23:49,1997-12-04,2019-01-10
BOM502271,RAASI REFRACTORIES LTD.-$ EOD Prices,End of Day prices and additional trading information for RAASI REFRACTORIES LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-04-08,2019-01-30
BOM502281,TRIVENI GLASS LTD.-$ EOD Prices,End of Day prices and additional trading information for TRIVENI GLASS LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-02-27,2019-01-31
BOM502294,Nilachal Refractories Ltd. EOD Prices,End of Day prices and additional trading information for Nilachal Refractories Ltd. EOD Prices.,2015-11-12 11:56:32,1997-08-14,2014-11-28
BOM502330,International Paper APPM Limited EOD Prices,End of Day prices and additional trading information for International Paper APPM Limited EOD Prices.,2019-02-01 13:23:49,1991-01-02,2019-01-31
BOM502352,AURANGABAD PAPER MILLS LTD. EOD Prices,End of Day prices and additional trading information for AURANGABAD PAPER MILLS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2016-07-11
BOM502355,BALKRISHNA INDUSTRIES LTD.-$ EOD Prices,End of Day prices and additional trading information for BALKRISHNA INDUSTRIES LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-01-02,2019-01-31
BOM502405,MYSORE PAPER MILLS LTD. EOD Prices,End of Day prices and additional trading information for MYSORE PAPER MILLS LTD. EOD Prices.,2019-02-01 13:23:49,1995-08-31,2017-06-19
BOM502407,NATH PULP & PAPER MILLS LTD. EOD Prices,End of Day prices and additional trading information for NATH PULP & PAPER MILLS LTD. EOD Prices.,2019-02-01 13:23:49,1991-04-08,2019-01-31
BOM502420,ORIENT PAPER & INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for ORIENT PAPER & INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-07,2019-01-31
BOM502445,CITADEL REALTY AND DEVELOPERS LTD. EOD Prices,End of Day prices and additional trading information for CITADEL REALTY AND DEVELOPERS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-31
BOM502448,ROLLATAINERS LTD. EOD Prices,End of Day prices and additional trading information for ROLLATAINERS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-31
BOM502450,SESHASAYEE PAPER & BOARDS LTD. EOD Prices,End of Day prices and additional trading information for SESHASAYEE PAPER & BOARDS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-02,2019-01-31
BOM502455,Sirpur Paper Mills Ltd. EOD Prices,End of Day prices and additional trading information for Sirpur Paper Mills Ltd. EOD Prices.,2015-11-12 11:56:32,1991-01-03,2015-11-09
BOM502460,SOLID CONTAINERS LTD. EOD Prices,End of Day prices and additional trading information for SOLID CONTAINERS LTD. EOD Prices.,2019-02-01 13:23:49,1995-01-04,2018-10-31
BOM502465,SPECIALITY PAPERS LTD. EOD Prices,End of Day prices and additional trading information for SPECIALITY PAPERS LTD. EOD Prices.,2019-02-01 13:23:49,1995-09-13,2017-09-04
BOM502473,RELSON INDIA LTD. EOD Prices,End of Day prices and additional trading information for RELSON INDIA LTD. EOD Prices.,2019-02-01 13:23:49,1996-02-07,2009-07-27
BOM502563,SHREE BHAWANI PAPER MILLS LTD. EOD Prices,End of Day prices and additional trading information for SHREE BHAWANI PAPER MILLS LTD. EOD Prices.,2019-02-01 13:23:49,1991-05-06,2019-01-01
BOM502587,RAMA PULP & PAPERS LTD. EOD Prices,End of Day prices and additional trading information for RAMA PULP & PAPERS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-31
BOM502589,VAPI PAPER MILLS LTD. EOD Prices,End of Day prices and additional trading information for VAPI PAPER MILLS LTD. EOD Prices.,2019-02-01 13:23:49,1991-03-21,2019-01-09
BOM502742,SINTEX INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for SINTEX INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-02,2019-01-31
BOM502761,Blue Blends (India) Ltd EOD Prices,End of Day prices and additional trading information for Blue Blends (India) Ltd EOD Prices.,2019-02-01 13:23:49,1991-01-02,2019-01-24
BOM502820,DCM LTD. EOD Prices,End of Day prices and additional trading information for DCM LTD. EOD Prices.,2019-02-01 13:23:49,1991-04-15,2019-01-31
